Model,Amazon_Price,Amazon_Rating,Amazon_Number_of_Reviews,Amazon_URL,Flipkart_Price,Flipkart_Rating,Flipkart_Number_of_Reviews,Flipkart_URL,Croma_Price,Croma_Rating,Croma_Number_of_Reviews,Croma_URL
"Nothing Phone 2a Plus 5G(8GB RAM,256GB,Grey)",22999,4,129,https://www.amazon.in/Nothing-Storage-Dimensity-Processor-Display/dp/B0DC8F2X6T/ref=sr_1_1?crid=XGJPHOHHCVBQ&dib=eyJ2IjoiMSJ9.SVGX8fpJuRRAuz34EkTpNxR0y7z8PZUZE3RZi33fq7EWRmrmosmjl_7t5gEi_TyqxGYMzDJTMxygQ2B1-_GYKpHIQMpsoOpjwkzFPlfuwTVyH9RLC-1k78s3UaCFvl_ntLdALPm2Z-Drh8irtNoFokXqtsdqGfDFu-gJNR7KRfMpc-xbATvgmuyZXvoWslbh4y6aOwMuYy5-evJgLPRe94f_xLO1mHqOHwr4VP6b1gSiEiIhAjvCDdOyn5tzJZgiO1bs8QCk3vd0iBUORWmiailsSsUxMPNE0m6lw1R-xtRorX2HSts571gb_S-lMC5wWJMroBfuTy1VUsXpdZz8jdukJPF8WiQ8FCsi8FjvAEY3uA5nQpvFQZsxYguudj1urC1Is7UMEF82L3xdmkhTaapUcANxQhxvBcvHTweUB2FBNfYxvCTvcxLLQrQrz50C.CMDl1SDATXySOdSF5n4OFqCdB8plTxd62xKgB4QRgcg&dib_tag=se&keywords=Nothing+Phone+2a+Plus+5G%288GB+RAM%2C256GB%2CGrey%29&qid=1743132860&sprefix=nothing+phone+2a+plus+5g+8gb+ram%2C256gb%2Cgrey+%2Caps%2C262&sr=8-1,27999,4.4,865,https://www.flipkart.com/nothing-phone-2a-plus-grey-256-gb/p/itm0c99b11bfe22d?pid=MOBH322WYZVQDCY9&lid=LSTMOBH322WYZVQDCY9XWRXHY&marketplace=FLIPKART&q=Nothing+Phone+2a+Plus+5G%288GB+RAM%2C256GB%2CGrey%29&store=tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=d73adda6-207d-4745-88a9-8f9905e76da3.MOBH322WYZVQDCY9.SEARCH&ppt=sp&ppn=sp&ssid=xh0dxz6u3k0000001743132867661&qH=db712a69486d95c2,26999,4.7,4,https://www.croma.com/nothing-phone-2a-plus-5g-8gb-ram-256gb-grey-/p/308987
"Nothing CMF Phone 1 5G(6GB RAM,128GB,Orange)",13859,4.2,90,https://www.amazon.in/CMF-NOTHING-Phone-128-Orange/dp/B0D9BT3HX1/ref=sr_1_1?crid=2L0Z3ZL69S18I&dib=eyJ2IjoiMSJ9.xjL8SHbXiToOtbx_D1zOghoJAE1Zisu5gEE5l2O9r5xOrI0K2FaCZ5d-0DwWtrglHQV8l_j5Em2mir3q8PwU_HBpNWQpd9UUd6U4XLCI9n0ww6JbqMkpNR1xzYfBM83e-zCPmmmruuRz_EXx57yxIaKFn2mjsf4pcNO5-oTyNbvz4weY05955aObOmNBhN2X_pSeD62m8E-MDVxpEJ2WodYLeB16L6K64mIA0HecBr0.D9foEyZwpjJ61J4EszSxirFKe0offf9pYssveuxVpRs&dib_tag=se&keywords=Nothing+CMF+Phone+1+5G%286GB+RAM%2C128GB%2COrange%29&qid=1743133219&sprefix=nothing+cmf+phone+1+5g+6gb+ram%2C128gb%2Corange+%2Caps%2C393&sr=8-1,15999,4.4,4987,https://www.flipkart.com/cmf-nothing-phone-1-orange-128-gb/p/itmeef68c7ce70bf?pid=MOBHYBQTUW78PCR2&lid=LSTMOBHYBQTUW78PCR2ACTHXQ&marketplace=FLIPKART&q=Nothing+CMF+Phone+1+5G%286GB+RAM%2C128GB%2COrange%29&store=tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=a96ff65f-ef13-42e4-840b-6c46fc1f0799.MOBHYBQTUW78PCR2.SEARCH&ppt=sp&ppn=sp&ssid=cvwkuu7dc00000001743133224358&qH=fcf9bf6ebd5470ab,15499,5,1,https://www.croma.com/nothing-cmf-phone-1-5g-6gb-ram-128gb-orange-/p/308337
"Apple iPhone 16(128GB,Teal)",73400,4.4,421,https://www.amazon.in/iPhone-16-128-GB-Control/dp/B0DGJH8RYG/ref=sr_1_3?crid=K0PPSZ1AIZD8&dib=eyJ2IjoiMSJ9.PEzr0xv2GBG2CIBcQbA3w-3wDYs4YBmq7lj-xnNH6sGoDN1eUD03Ab98CWUlGPmEHKr6bfRu5HoQLgZQugH8pp-ie45djZ96ms8iXbdHB5DoN2neJq8qL427-v1pgICCxq1lmBvQVXcjFy8IhFJBmf6CxwVgi4AEEH0BZ1iSPAUmxeaHUWeSebIv_8BUvl81ghi510mOlQnBRFKhaNjuktl-BsUzFxYXj1dmWxaSkuo.9qXozn5JyIL9wQeh753tmJW9su6UHE36mW1NqcDn-tU&dib_tag=se&keywords=Apple%2BiPhone%2B16(128GB%2CTeal)&qid=1743133521&sprefix=apple%2Biphone%2B16%2B128gb%2Cteal%2B%2Caps%2C339&sr=8-3&th=1,69999,4.6,324,https://www.flipkart.com/apple-iphone-16-teal-128-gb/p/itmce4bb3f55cc2f?pid=MOBH4DQFSY9ETDUU&lid=LSTMOBH4DQFSY9ETDUUX0E7YU&marketplace=FLIPKART&q=Apple+iPhone+16%28128GB%2CTeal%29&store=tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=fb56656d-01ab-45d0-8c3d-520dd646bee4.MOBH4DQFSY9ETDUU.SEARCH&ppt=sp&ppn=sp&ssid=9hnkbhy3qo0000001743133527074&qH=b52c31f3c7829ff6,71490,4.4,5,https://www.croma.com/apple-iphone-16-128gb-teal-/p/309695
"vivo T3 Lite 5G(6GB RAM, 128GB,Vibrant Green)",11390,3.7,183,https://www.amazon.in/Vivo-Smartphone-Vibrant-Green-Storage/dp/B0D93HRDD3/ref=sr_1_1?crid=32Q044HXGQEE9&dib=eyJ2IjoiMSJ9.gXCjUhT5X7kx3t5FMCUJytYG1wrDeTQ9SL4LtdTHqPifHvTtXWJkuegxV1UUuUxZpjxRNI5iflyBKBGJQ4BcU0UBLAnwRfQkmlkd9UNij0IpsnKCCN1zjwTb5145m6ibxNv8juDd6UzkBwfIJvt38bLXFNrEISKAz_IhjyH3QOAAA0o3NVGgjm0GoPhSzzxwDqn3TD6cr8_bLnP4-3tY5Vh5f9KqbUhRMckRzygs4ek.lNaMRSvDtahNMgbLh4tUDHCAgqZUJ6ZTftm0KWl_lgY&dib_tag=se&keywords=vivo+T3+Lite+5G+%286GB+RAM%2C+128GB%2C+Vibrant+Green%29&nsdOptOutParam=true&qid=1743135337&sprefix=vivo+t3+lite+5g+6gb+ram%2C+128gb%2C+vibrant+green+%2Caps%2C388&sr=8-1,11499,4.4,2337,https://www.flipkart.com/vivo-lite-5g-vibrant-green-128-gb/p/itm977c89a44d373?pid=MOBHFTYBA6V3RVZE&lid=LSTMOBHFTYBA6V3RVZEGQ7SZ8&marketplace=FLIPKART&q=vivo+T3+Lite+5G+%286GB+RAM%2C+128GB%2C+Vibrant+Green%29&store=tyy%2F4io&spotlightTagId=default_BestsellerId_tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=214ed5b8-4c6a-434c-a567-cab580297ebb.MOBHFTYBA6V3RVZE.SEARCH&ppt=sp&ppn=sp&ssid=im8jh1zcw00000001743135326330&qH=c920a36c27c67e20,11499,4.1,7,https://www.croma.com/vivo-t3-lite-5g-6gb-ram-128gb-vibrant-green-/p/307900
"vivo V50 5G(8GB RAM,256GB,Rose Red)",36999,4.1,114,https://www.amazon.in/V50-Storage-Additional-Exchange-Offers/dp/B0DTHVHZC5/ref=sr_1_1?crid=32F7M3636PL7B&dib=eyJ2IjoiMSJ9.sQDvwgXOTwGt18eeJl3OaSkZzJTomOegDoG678HK8OT9-Wew-qaX752-NYNFGUwGZzhK_4wAFctuBTnHUDAFLdERklqH8D4yUMtyYWgeROulr4mLn5e2pKbf29Rb-1fQHB3zx8gONUXkU5UztNaRV1SZs8YpgjY4yBAya6LCTUBfo3mZCZpTqI48KLFfvpMEIW6KL_itnJNWw10alew2dpSrn5mlscNTKYRPliX7e5A.9ASJu5UppGU9qyv9L_w-Q4feuzArbklcg1zsVsQIdbk&dib_tag=se&keywords=vivo%2BV50%2B5G%2B(8GB%2BRAM%2C%2B256GB%2C%2BRose%2BRed)&nsdOptOutParam=true&qid=1743135869&sprefix=vivo%2Bv50%2B5g%2B8gb%2Bram%2C%2B256gb%2C%2Brose%2Bred%2B%2Caps%2C344&sr=8-1&th=1,36999,4.5,216,https://www.flipkart.com/vivo-v50-5g-rose-red-256-gb/p/itm12bbdca230795?pid=MOBH8Z32XECJ9E7M&lid=LSTMOBH8Z32XECJ9E7MMTTUE1&marketplace=FLIPKART&q=vivo+V50+5G+%288GB+RAM%2C+256GB%2C+Rose+Red%29&store=tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=c638ad3a-d302-408f-8ee0-08caefffe1cc.MOBH8Z32XECJ9E7M.SEARCH&ppt=sp&ppn=sp&ssid=6jejezjhts0000001743135852212&qH=2ef72c18ff8776e9,36999,5,3,https://www.croma.com/vivo-v50-5g-8gb-ram-256gb-rose-red-/p/313862
"SAMSUNG Galaxy S25 5G(12GB RAM,512GB,Icyblue)",92999,4.6,64,https://www.amazon.in/Samsung-Galaxy-Smartphone-Icyblue-Storage/dp/B0DSKN89B7/ref=sr_1_3?crid=1H07BLE4BBH5L&dib=eyJ2IjoiMSJ9.OgVU7P7hSdcNZ8_Fsnj3su_ewtPIQRr7qFsVB4plLuCse9doMIDoqhH16srMYyvQezOQfAqGtHzRGMSLv-p4P91iz0fZFbnihOcD8yjE7ixYx5Iw1FVVjBnFxGVHQSzrCjyQrXF22Z2BS4f72EcSjxuzKMH1IcBjbDmMoQTiL9bomlawO6bZcOdYNP1bx2ymCkGzAy8qE7P75zpG9oHmlmrTn350L-ptw7zK0brcDDY.sdnzhq822IUfMBDf8BV2oTLeUcmnsdNg7o4NO0LuozA&dib_tag=se&keywords=SAMSUNG%2BGalaxy%2BS25%2B5G%2B(12GB%2BRAM%2C%2B512GB%2C%2BIcyblue)&nsdOptOutParam=true&qid=1743137256&sprefix=samsung%2Bgalaxy%2Bs25%2B5g%2B12gb%2Bram%2C%2B512gb%2C%2Bicyblue%2B%2Caps%2C870&sr=8-3&th=1,92999,4.6,94,https://www.flipkart.com/samsung-galaxy-s25-5g-icyblue-512-gb/p/itm859ebd4b08d31?pid=MOBH8K8UNC88SRYU&lid=LSTMOBH8K8UNC88SRYUD9WR5K&marketplace=FLIPKART&q=SAMSUNG+Galaxy+S25+5G+%2812GB+RAM%2C+512GB%2C+Icyblue%29&store=tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=39ccb0f2-f982-4303-978c-2d01274660e4.MOBH8K8UNC88SRYU.SEARCH&ppt=hp&ppn=homepage&ssid=9cd60zdoao0000001743137279779&qH=ecdde2ac4e06410e,92999,5,2,https://www.croma.com/samsung-galaxy-s25-5g-12gb-ram-512gb-icyblue-/p/313335
"SAMSUNG Galaxy S25 Ultra 5G(12GB RAM,512GB,Titanium Black)",141999,4.3,94,https://www.amazon.in/Samsung-Smartphone-Titanium-Storage-Included/dp/B0DSKMKJV5/ref=sr_1_2_sspa?crid=1FXCGUEVV4YMD&dib=eyJ2IjoiMSJ9.6F9zxmqbhCO38LI-LW5u6tMHOY-1k2p4sOYQ5zUDYWjPDIO6VZkyfmdBNJz4oEp1ZgSCLmwvUYaBgMX6a8Q9g2ysGPZXRFtAgg_ajznJYeylu-f3a-jrUrpiAUzf8WE0VDFqBWErllihv4VbP32PYycytDMDY1nW_i-GKwD0zXmaduEMR5pqkepcHGwd1erqNV9ai0CqE0gWwl7MnMGcVuo5B9_u2QS6Z39qWCvZ5Eo.pl4RxPBtLtMaT9J_6TbbyNf9yr7ETxxsZvye1SVKJ_E&dib_tag=se&keywords=SAMSUNG%2BGalaxy%2BS25%2BUltra%2B5G%2B(12GB%2BRAM%2C%2B512GB%2C%2BTitanium%2BBlack)&nsdOptOutParam=true&qid=1743137752&sprefix=samsung%2Bgalaxy%2Bs25%2Bultra%2B5g%2B12gb%2Bram%2C%2B512gb%2C%2Btitanium%2Bblack%2B%2Caps%2C511&sr=8-2-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1,119999,4.7,119,https://www.flipkart.com/samsung-galaxy-s25-ultra-5g-titanium-black-512-gb/p/itm09d676ceb930d?pid=MOBH92ADDUA8GADK&lid=LSTMOBH92ADDUA8GADKUBAIOH&marketplace=FLIPKART&q=SAMSUNG+Galaxy+S25+Ultra+5G+%2812GB+RAM%2C+512GB%2C+Titanium+Black%29&store=tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=a11b08b7-b067-4ce1-8f69-d7a373dd3bd7.MOBH92ADDUA8GADK.SEARCH&ppt=sp&ppn=sp&ssid=dj9903r72o0000001743137758054&qH=c503cd63c7c07772,141999,4.2,6,https://www.croma.com/samsung-galaxy-s25-ultra-5g-12gb-ram-512gb-titanium-black-/p/313347
"Google Pixel 9 5G(12GB RAM,256GB,Obsidian)",75000,4.8,140,https://www.amazon.in/Google-Pixel-Obsidian-256-RAM/dp/B0DZXTW6PP/ref=sr_1_1?crid=220NQ1448OWE5&dib=eyJ2IjoiMSJ9.hYdv8lLqJ451ZLotvShHNvAS8FjNvgvgLzwov9c7PaVLaSPLQ1O9g5dw_Mu-o3VSbd56uASvVVE-T_27eIFtLqi8Cj5AlYGy3TZRN75iOEIfgWZFe7lXtuc7orIBg8Iky5NF1lkjLFwurI1DJ4C6-vL_AcF2AQJvfrgOTfojMdqcsJZwEudHVMQ6xQIYjrRFonvrr6zt1KL-huhWNn6YVCJ5Kg8M0y121Nd75FpitHesyZyzZ6ygZ1sxgPbsYCsxG54uPfRKaa0c2S5MnuRs_-z1ddKZZ40geaK8ZOQW1X3q5qtCfoUKEN4XCRv5cqjusSqJ4mShlI_KusxBDTTuxyYFPYBMhkWdNX4EZMxee44.Eb1PuWCE6p6YrVeDmJRxENR3IofoWwAx0iSaO0SSvzs&dib_tag=se&keywords=Google+Pixel+9+Pro+Fold+5G+%2816GB+RAM%2C+256GB%2C+Obsidian%29&nsdOptOutParam=true&qid=1743138203&s=electronics&sprefix=google+pixel+9+pro+fold+5g+16gb+ram%2C+256gb%2C+obsidian+%2Celectronics%2C340&sr=1-1,74999,4.6,253,https://www.flipkart.com/google-pixel-9-obsidian-256-gb/p/itm330ed8ebeefe1?pid=MOBH2HJGP3FGTECW&lid=LSTMOBH2HJGP3FGTECWZSSJ2D&marketplace=FLIPKART&q=Google+Pixel+9+%28Obsidian%2C+256+GB%29+%2812+GB+RAM%29&store=tyy%2F4io&srno=s_1_2&otracker=search&otracker1=search&fm=Search&iid=eb62e9c7-16ae-4105-a358-a7effa06a957.MOBH2HJGP3FGTECW.SEARCH&ppt=sp&ppn=sp&ssid=outkerap6o0000001743138242511&qH=7b6c260666cf9c26,74999,5,4,https://www.croma.com/google-pixel-9-5g-12gb-ram-256gb-obsidian-/p/309168
"Apple iPhone 15(128GB,Black)",61500,4.5,3177,https://www.amazon.in/Apple-iPhone-15-128-GB/dp/B0CHX1W1XY/ref=sr_1_1_sspa?crid=H15K8CRV1XAW&dib=eyJ2IjoiMSJ9.8-aKrERwPzdGyJWfWOa56NxYBhzMxuDS-uvGoJbB4Kl3bTAyHsjnQlRBVombFYdyu6x4gDmg_DIp3nG6xnr-RnHbZ2cvj_V4rSQuCuUAzSQffE4_OkQJ1T7W5QxF8-9TvQ-DQ6JhC9d8MD-gBacN9czLfUS419ZzLyn-kv0uz1uPKc4YuAAtnDQRn9cY34QnqT0qKORT3Go9vh64dChrOUunUAKOfEj9gR-Xr9ogstM.DOkpcCqUzcPh_mAGzDWpCICBgW1CeheM7k2glHEZ52k&dib_tag=se&keywords=iphone%2B15&qid=1743138725&sprefix=ipnone%2Caps%2C241&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1,64999,4.6,3849,https://www.flipkart.com/apple-iphone-15-black-128-gb/p/itm6ac6485515ae4?pid=MOBGTAGPTB3VS24W&lid=LSTMOBGTAGPTB3VS24WVZNSC6&marketplace=FLIPKART&q=Apple+iPhone+15+%28128+GB%29+-+Black&store=tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=03c2d00d-71aa-4683-b7c6-75583df1c063.MOBGTAGPTB3VS24W.SEARCH&ppt=hp&ppn=homepage&ssid=4cr50h3pn40000001743138772970&qH=895aafa23efcc6e3,64900,3.4,28,https://www.croma.com/apple-iphone-15-128gb-black-/p/300652
"oppo Reno13 5G(8GB RAM,128GB,Luminous Blue)",34980,4.3,23,https://www.amazon.in/Reno13-Luminous-Storage-Additional-Exchange/dp/B0DSQ9NNHN/ref=sr_1_1?crid=2EFUCU2ALP7N4&dib=eyJ2IjoiMSJ9._o7cjac83sZngplbnArOgBQY4Kt2-pdpuC0MV7ryNqHLswru1A1aDRPALbmjGD_7NjM6O7vv0KOJjAcZo7iHyH4iy0uit8ijX0-Mfq6qcLRdARG6YakyjSgr6ASat7QPNaZkqpZVkgtsyIRcIqBgVOz0lY1EGAEJtihaJVVmCvFUDPTtsckB32iBLde7JciUlaAUKI76pes8UDafsunVldmMTmrfeP10DSayxK2zOBM.iT7sgpx5N4cgU6jGA9doBik3TrHttbtsTSekZIk67Lk&dib_tag=se&keywords=oppo%2BReno13%2B5G%2B(8GB%2BRAM%2C%2B128GB%2C%2BLuminous%2BBlue)&nsdOptOutParam=true&qid=1743142480&sprefix=oppo%2Breno13%2B5g%2B8gb%2Bram%2C%2B128gb%2C%2Bluminous%2Bblue%2B%2Caps%2C1087&sr=8-1&th=1,37999,5,7,https://www.flipkart.com/oppo-13-5g-luminous-blue-ivory-white-128-gb/p/itm9cf979582f79d?pid=MOBH8FZZERKDHSBY&lid=LSTMOBH8FZZERKDHSBYBUUVYZ&marketplace=FLIPKART&q=oppo+Reno13+5G+%288GB+RAM%2C+128GB%2C+Luminous+Blue%29&store=tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=c2723c07-7278-4182-a17f-f37c46fc99be.MOBH8FZZERKDHSBY.SEARCH&ppt=hp&ppn=homepage&ssid=gy0668oerk0000001743142467926&qH=4da707bd41a6eb28,37999,5,11,https://www.croma.com/oppo-reno13-5g-8gb-ram-128gb-luminous-blue-/p/312491
